Id,Time,Clipped Edges,HipCenter,Spine,ShoulderCenter,Head,ShoulderLeft,ElbowLeft,WristLeft,HandLeft,ShoulderRight,ElbowRight,WristRight,HandRight,HipLeft,KneeLeft,AnkleLeft,FootLeft,HipRight,KneeRight,AnkleRight,Class
62,2.1165039,-0.2142567,-0.2086384,-0.1778956,-0.1777876,-0.3442487,-0.4344405,-0.4824184,-0.4930117,-0.01336291,0.03755457,0.05211044,0.04011573,-0.2982397,-0.3401875,-0.3870279,-0.3501873,-0.1444983,-0.1669245,-0.2010396,-0.2261919,1
63,2.1505286,-0.2142415,-0.2088513,-0.1790191,-0.1794596,-0.3463899,-0.4349811,-0.4740054,-0.4825074,-0.01693101,0.03412868,0.05161396,0.04088546,-0.2973613,-0.3370186,-0.3821065,-0.3604702,-0.1449075,-0.1709349,-0.2023245,-0.2254222,1
64,2.1735447,-0.2148833,-0.2097247,-0.1806688,-0.1814969,-0.3552478,-0.4388072,-0.4685592,-0.479916,-0.02433909,0.02957402,0.0439495,0.03897797,-0.2970717,-0.3350627,-0.3773968,-0.3722205,-0.1454499,-0.1755805,-0.2039627,-0.2254203,1
65,2.216575,-0.216195,-0.2114396,-0.1846109,-0.1847115,-0.359974,-0.4416936,-0.471912,-0.4816408,-0.02909628,0.01406874,0.0423307,0.0375555,-0.2971498,-0.3339112,-0.372875,-0.3753499,-0.1465821,-0.1769262,-0.2053023,-0.2252004,1
66,2.2415925,-0.220093,-0.2167991,-0.2007845,-0.1903475,-0.3640803,-0.4457945,-0.477194,-0.4847921,-0.03396832,0.007170718,0.0413749,0.03689468,-0.2985905,-0.3331007,-0.3718589,-0.3715264,-0.1502731,-0.177569,-0.2055596,-0.2266667,1
67,2.2776181,-0.2242763,-0.2210296,-0.2053396,-0.1937095,-0.3706701,-0.4538668,-0.4827147,-0.4860627,-0.0377382,0.002798967,0.04081469,0.03646184,-0.3030021,-0.333027,-0.3711106,-0.3720699,-0.153966,-0.1779772,-0.2058618,-0.2077307,1
68,2.3186481,-0.2282021,-0.2247628,-0.2081005,-0.1989775,-0.3758595,-0.458486,-0.4911286,-0.4948976,-0.04434154,-0.001822351,0.03948974,0.03592234,-0.3070309,-0.333921,-0.375538,-0.3757993,-0.1577019,-0.1799443,-0.2036807,-0.2185923,1
69,2.3496699,-0.2335652,-0.2304913,-0.2123223,-0.2127354,-0.3825211,-0.4625561,-0.5036147,-0.5033929,-0.05280197,-0.008754357,0.03601925,0.03370779,-0.3114199,-0.3438858,-0.3753732,-0.3770903,-0.1627753,-0.1822233,-0.2021185,-0.2182244,1
70,2.3846951,-0.2379161,-0.2350464,-0.2166843,-0.2186618,-0.3887061,-0.4658893,-0.5094469,-0.506986,-0.05901213,-0.01228283,0.02970816,0.02813516,-0.3160405,-0.3458746,-0.374014,-0.3690729,-0.1664418,-0.184303,-0.2008856,-0.2145775,1
71,2.4107136,-0.2428637,-0.2403276,-0.2234865,-0.2232118,-0.3990867,-0.468808,-0.5127056,-0.5139234,-0.06442007,-0.01489258,0.02433202,0.02371687,-0.3207541,-0.3479881,-0.3732168,-0.3659243,-0.1709491,-0.186403,-0.2006916,-0.2139867,1
72,2.4397345,-0.2463998,-0.2437841,-0.2273996,-0.226371,-0.4059128,-0.4789638,-0.5125774,-0.5177692,-0.06857176,-0.02064666,0.02136653,0.0208211,-0.3250536,-0.3502328,-0.3739968,-0.3648032,-0.1741307,-0.1926459,-0.2017532,-0.2180795,1
73,2.4817643,-0.2519221,-0.2491904,-0.2321782,-0.2312701,-0.4126997,-0.4837089,-0.5123591,-0.5052605,-0.07351102,-0.02617572,0.01588605,0.01705929,-0.3309914,-0.3535123,-0.3748546,-0.3643334,-0.1798282,-0.2010825,-0.2020514,-0.2181944,1
74,2.5117846,-0.2567269,-0.25411,-0.2378302,-0.2384512,-0.4201078,-0.4911827,-0.513248,-0.5040854,-0.08092645,-0.03116368,0.01157409,0.01339335,-0.3356966,-0.3611378,-0.3753513,-0.3639094,-0.1843141,-0.2290969,-0.2029954,-0.217795,1
75,2.5408055,-0.2621561,-0.2598307,-0.2457422,-0.2439554,-0.4257692,-0.4948524,-0.510721,-0.5040912,-0.08956397,-0.03525242,0.007920647,0.008946836,-0.3389534,-0.3660111,-0.3764165,-0.3659884,-0.1921754,-0.2348795,-0.2032352,-0.2169991,1
76,2.5898406,-0.2670208,-0.2648123,-0.2550307,-0.2541093,-0.4309265,-0.4966366,-0.5085949,-0.5062889,-0.1049573,-0.03847938,0.004027184,0.004675592,-0.342792,-0.3736284,-0.3772435,-0.3695048,-0.1972025,-0.2370842,-0.203062,-0.2162091,1
77,2.6158602,-0.2721232,-0.2706932,-0.2653514,-0.2615269,-0.4369444,-0.4979362,-0.5068063,-0.5068126,-0.1139644,-0.04381128,-0.008789042,-0.001976439,-0.3457868,-0.3766235,-0.3801266,-0.367476,-0.2021309,-0.2352907,-0.2025349,-0.1966279,1
78,2.6628934,-0.2772943,-0.2769129,-0.2769637,-0.2688153,-0.4424133,-0.4998467,-0.5162637,-0.5068929,-0.1200442,-0.04886712,-0.01472865,-0.009084472,-0.3497128,-0.3793391,-0.380904,-0.3677263,-0.2061177,-0.2316153,-0.2018661,-0.1872287,1
79,2.6929142,-0.2839352,-0.2837384,-0.2835857,-0.2776274,-0.4474617,-0.5024759,-0.5162391,-0.5081219,-0.1245122,-0.06020149,-0.0368635,-0.02327406,-0.3545866,-0.3830611,-0.3817856,-0.3781074,-0.2138914,-0.2150441,-0.1994368,-0.1819816,1
80,2.7319411,-0.2958983,-0.2963002,-0.29739,-0.2961647,-0.4605588,-0.5076122,-0.5145089,-0.5062179,-0.1411849,-0.07916284,-0.04857155,-0.03807006,-0.3647545,-0.3873617,-0.3854316,-0.3760957,-0.226325,-0.2314139,-0.1972295,-0.179419,1
81,2.7689683,-0.3018946,-0.302344,-0.3031968,-0.3030837,-0.4647314,-0.5090332,-0.5079275,-0.5334025,-0.1464612,-0.08870988,-0.04913834,-0.03996735,-0.3716098,-0.4007746,-0.3860904,-0.3741997,-0.2316158,-0.2332857,-0.2014879,-0.1821876,1
82,2.7979908,-0.3079965,-0.3091875,-0.314488,-0.3094852,-0.4696368,-0.5149755,-0.5031621,-0.5121615,-0.1520637,-0.09569366,-0.04924554,-0.04130567,-0.3763313,-0.4077632,-0.3865005,-0.3818797,-0.2379424,-0.232068,-0.1909156,-0.1719902,1
83,2.8340159,-0.3125276,-0.3142574,-0.3217216,-0.3141955,-0.4736375,-0.5187078,-0.5072352,-0.5063475,-0.1575158,-0.1018269,-0.0504021,-0.04381476,-0.3800773,-0.4142387,-0.386899,-0.3837398,-0.2420577,-0.2296347,-0.1994166,-0.1810516,1
84,2.8630346,-0.3160428,-0.3180346,-0.3264588,-0.3184299,-0.4775043,-0.520525,-0.5099434,-0.5035872,-0.1614411,-0.1060571,-0.05199447,-0.04601146,-0.3834474,-0.4188874,-0.387232,-0.3824476,-0.245024,-0.2281125,-0.2008605,-0.1860665,1
85,2.9050661,-0.3193042,-0.3213548,-0.329699,-0.3212144,-0.480819,-0.5225804,-0.5118921,-0.5021312,-0.1652156,-0.1100646,-0.05825146,-0.05326947,-0.3866882,-0.4222444,-0.3873715,-0.3816162,-0.2480267,-0.2270516,-0.2093728,-0.1911625,1
86,2.9340854,-0.3220457,-0.3240765,-0.3321488,-0.3235795,-0.4830852,-0.5249674,-0.513069,-0.5018677,-0.1688232,-0.1127597,-0.0876929,-0.07779971,-0.3895741,-0.424737,-0.3873851,-0.3823151,-0.250633,-0.2260813,-0.2152598,-0.1946017,1
87,2.9721135,-0.3238478,-0.3259062,-0.3340269,-0.3267168,-0.4844243,-0.5270575,-0.514123,-0.5023007,-0.1721671,-0.1160678,-0.09474738,-0.0871041,-0.3914955,-0.4263594,-0.3875544,-0.3831788,-0.2522885,-0.2253499,-0.2186893,-0.1915703,1
88,2.9991319,-0.3255763,-0.3276441,-0.3356684,-0.3282119,-0.4856229,-0.5290506,-0.513122,-0.5083314,-0.1762318,-0.120036,-0.09892292,-0.09319677,-0.3933288,-0.4274774,-0.3874469,-0.3710943,-0.253903,-0.2249835,-0.2196056,-0.1914423,1
89,3.0391598,-0.3267705,-0.3288319,-0.3368111,-0.3288255,-0.4865103,-0.5301901,-0.5146838,-0.5083977,-0.1788607,-0.1232322,-0.1015298,-0.09436377,-0.3946727,-0.4283413,-0.3873366,-0.3780113,-0.2549905,-0.2245846,-0.212318,-0.1859734,1
90,3.0801903,-0.3283193,-0.3302406,-0.3376769,-0.3294087,-0.4872818,-0.5307803,-0.5153955,-0.5069385,-0.1812195,-0.1254333,-0.1031742,-0.09737176,-0.3964981,-0.42933,-0.3874136,-0.3832067,-0.2565408,-0.2239049,-0.2080271,-0.18141,1
91,3.1062083,-0.3291608,-0.3309832,-0.3381755,-0.3299272,-0.4875117,-0.5309815,-0.5158729,-0.5051852,-0.1833555,-0.1272255,-0.104217,-0.09896099,-0.3973622,-0.4300865,-0.3850389,-0.3878459,-0.2575217,-0.2233981,-0.2022844,-0.178852,1
